"code","type","firma","bulstat","fobshtina","fgrad","vei","vobshtina","vgrad","moshtnost","vavejdane","geo"
"ДИКС02СЕ0000","СЕ","”Дивелекс” ЕООД",200167147,"Елхово","Елхово","ФтЕЦ ”Дивелекс - Маломирово”","Елхово","с. Маломирово",0.048,91211,"42.14202,26.64236"
"ВИКО01ВД0000","ВД","”ВиК” ООД",817040128,"Габрово","Габрово","ВЕЦ ”Христо Смирненски”","Габрово","Габрово",0.706,10166,"42.81832,25.27233"
"ЮНСО01СЕ0000","СЕ","”Юнион Солар” ЕООД",201000083,"Нова Загора","Нова Загора","ФтЕЦ ”Юнион Солар”","Тунджа","с. Роза",2.513,101111,"42.40584,26.41915"
"СВТХ01СЕ0000","СЕ","”Севатех” ЕООД",200395738,"Стара Загора","Стара Загора","ФтЕЦ ”Севатех - Стара Загора”","Стара Загора","Стара Загора",0.06624,281209,"42.43346,25.64277"
"ЕГОТ01ВЕ0000","ВЕ","”Енерготрейд” ООД",103896949,"Варна","Варна","ВтЕЦ ”Кичево”","Аксаково","с. Кичево",0.45,210808,"43.27365,27.96950"
"ЕЕУП01ВЕ0000","ВЕ","”Еко Енерджи Груп” ООД",175285863,"Столична","София","ВтЕЦ ”Гурково 4”","Балчик","с. Гурково",1.32,120510,"43.48403,28.22743"
"ХЛИС01СЕ0000","СЕ","”Хелиос” ООД",119094790,"Нова Загора","Нова Загора","ФтЕЦ ”Хелиос - Радево”","Нова Загора","с. Радево",0.05508,170611,"42.41424,26.05850"
"АТОЛ01СЕ0000","СЕ","”Атасол” ЕООД",200773789,"Стара Загора","Стара Загора","ФтЕЦ ”Атасол - Крушаре”","Сливен","с. Крушаре",1.017,110112,"42.56889,26.39164"
"БУ2001СЕ0000","СЕ","”Бултех - 2000” ООД",123050294,"Стара Загора","Стара Загора","ФтЕЦ ”Бултех”","Стара Загора","Стара Загора",0.028,100810,"42.42092,25.62131"
"НЕЙЧ01СЕ0000","СЕ","”Нейчър Енерджи” ЕООД",200661847,"Перник","с. Студена","ФтЕЦ ”Нейчър”","Брезник","с. Кошарево",1.16748,190811,"42.67082,22.77259"
"ПИПА01СЕ0000","СЕ","”Пи Пауър” ЕООД",200920552,"Столична","София","ФтЕЦ ”Гюргич - 4”","Ружинци","с. Гюргич",0.14168,151010,"43.54994,22.87160"
